no,name,city,country,lat,lon
1,Lo Veterinary Clinic,Karawang,Indonesia,-6.320076407,107.2915464
2,Pet Clinic ,Karawang,Indonesia,-6.32701994,107.2893679
3,Klinik Hewan Alaska Karawang,Karawang,Indonesia,-6.314052189,107.3025859
4,UPTD Pusat Kesehatan Hewan (PUSKESWAN) ,Karawang,Indonesia,-6.302891755,107.3026634
5,Muezza Pet Care,Karawang,Indonesia,-6.324472694,107.270998
6,Garden 11 Petshop & Klinik,Karawang,Indonesia,-6.332434571,107.287754
7,Garden 14 Pet Shop & Pet Klinik,Karawang,Indonesia,-6.30781278,107.3287924
8,Klinik Hewan Awal Care,Jakarta,Indonesia,-6.21250631,106.9425134
9,Animal Clinic Jakarta,Jakarta,Indonesia,-6.270893746,106.8508221
10,Klinik Hewan Awal Care,Jakarta,Indonesia,-6.192374417,106.9146841
11,Jakarta Vet Cempaka Putih,Jakarta,Indonesia,-6.165754156,106.8954476
12,Chi Green Vet Animal Clinic & Pet Shop,Jakarta,Indonesia,-6.136687812,106.9314109
13,Groovy Vetcare Clinic,Jakarta,Indonesia,-6.2531724,106.8231209
14,Gloriouz Pet,Jakarta,Indonesia,-6.167469381,106.8550392
15,Pet Vet,Jakarta,Indonesia,-6.197856346,106.8286009
16,Klinik Hewan Drh. Cucu Kartini Sajuthi,Jakarta,Indonesia,-6.164022241,106.7774145
17,Nature Vet & Petshop,Jakarta,Indonesia,-6.217485029,106.8215134
18,Jakarta Pet Care Center,Jakarta,Indonesia,-6.108904273,106.829725
19,Petlove Center,Jakarta,Indonesia,-6.231841306,106.7837239
20,GustaVet,Jakarta,Indonesia,-6.201103126,106.8118849
21,Satwagia Dokter Hewan RND Pondok Aren,Jakarta,Indonesia,-6.26885159,106.7174697
22,Drh. Martina,Jakarta,Indonesia,-6.17278733,106.8003159
23,Jakarta Vet Cideng,Jakarta,Indonesia,-6.163997793,106.8109023
24,Klinik Hewan Purivet Kembangan,Jakarta,Indonesia,-6.1838846,106.7552366
25,Klinik Hewan Filia Satwa,Jakarta,Indonesia,-6.158184289,106.7810625
26,MyCat. Praktek dokter hewan khusus Kucing,Jakarta,Indonesia,-6.192699038,106.7416806
27,ANDISTA ANIMAL CARE | DOKTER HEWAN,Jakarta,Indonesia,-6.176736765,106.8012675
28,BINTANG VET CLINIC ( GLORY PETSHOP),Jakarta,Indonesia,-6.173502663,106.781408
29,"Jakarta Vet Kelapa Gading, Praktek Dokter Hewan Gunawan Rahardja & Rekan",Jakarta,Indonesia,-6.146680521,106.906945
30,Klinik Hewan Citra 6 (Praktek drh. Intan Rahayu),Jakarta,Indonesia,-6.122617534,106.7094203
31,AMORE 4 Animal Clinic,Jakarta,Indonesia,-6.266490671,106.8120073
32,Kelapa 2 Pets Healthcare Services,Jakarta,Indonesia,-6.202741271,106.7696368
33,My Vets Kemang,Jakarta,Indonesia,-6.266778501,106.8116402
34,"Klinik Hewan El Care ( Duren Sawit, Jakarta )",Jakarta,Indonesia,-6.231067163,106.9288129
35,Radhiyan Pet and Care Rawamangun (Praktek Dokter Hewan),Jakarta,Indonesia,-6.198552911,106.8924933
36,Pet Care,Jakarta,Indonesia,-6.288115659,106.8176507
37,Rumah Sakit Hewan Jakarta,Jakarta,Indonesia,-6.298851327,106.8195782
38,Finy Klinik Dokter Hewan,Jakarta,Indonesia,-6.307878207,106.8717263
39,Mon's Pets,Jakarta,Indonesia,-6.23322366,106.8505566
40,Smile Animal Clinic And Care,Jakarta,Indonesia,-6.253531706,106.8401231
41,Klinik Hewan SW Pet,Jakarta,Indonesia,-6.254955431,106.7817827
42,Klinik Hewan VMC,Jakarta,Indonesia,-6.282411021,106.8379502
43,Wunderpet Animal Care,Jakarta,Indonesia,-6.213779548,106.8389539
44,ALHUSNA CAT CARE (dokter Hewan Khusus kucing/Perawatan kucing/penitipan/rawat Inap/daycare),Jakarta,Indonesia,-6.283042549,106.8556068
45,Palemvetclinic (Klinik Hewan),Jakarta,Indonesia,-6.146693821,106.718161
46,Toro Vet Clinic Palem Lestari,Jakarta,Indonesia,-6.135609176,106.7214815
47,Prima Pet Care,Jakarta,Indonesia,-6.255885126,106.8789814
48,Malaka Pet Clinic,Jakarta,Indonesia,-6.227063326,106.927493
49,ME VET,Jakarta,Indonesia,-6.305984117,106.8296561
50,Alana Vet,Jakarta,Indonesia,-6.282974808,106.9024418
51,Gloriavet,Bandung,Indonesia,-6.876226064,107.5827871
52,Vet to Pet Bandung,Bandung,Indonesia,-6.910134241,107.6598803
53,Zoom Vet Team,Bandung,Indonesia,-6.911238138,107.6745598
54,Petsmile Doknyom Bandung,Bandung,Indonesia,-6.907557253,107.6083538
55,Healthy Pet,Bandung,Indonesia,-6.952962224,107.6047704
56,Klinik drh. Martopo,Bandung,Indonesia,-6.929034955,107.6166395
57,PDHB drh. Anton Susilo A.P.,Bandung,Indonesia,-6.928348609,107.5772034
58,Praktek Dokter Hewan Bersama Arcamanik,Bandung,Indonesia,-6.911578966,107.6728431
59,Urban Animal Pet Care Clinic,Bandung,Indonesia,-6.885790331,107.6275118
60,Klinik Hewan Mahapetcare,Bandung,Indonesia,-6.897511291,107.6524505
